ConceptName,ConceptID,AllowedValues
WBC,1,NumericAllowedValues
RBC,2,NumericAllowedValues
HGB,3,NumericAllowedValues
HCT,4,NumericAllowedValues
MCV,5,NumericAllowedValues
MCH_MCHC,6,NumericAllowedValues
RDW,7,NumericAllowedValues
PLT,8,NumericAllowedValues
MPV,9,NumericAllowedValues
Creatinine,10,NumericAllowedValues
Urea,11,NumericAllowedValues
Sodium,12,NumericAllowedValues
Potassium,13,NumericAllowedValues
AST,14,NumericAllowedValues
ALT,15,NumericAllowedValues
Gamma_GT,16,NumericAllowedValues
PT,17,NumericAllowedValues
aPTT,18,NumericAllowedValues
INR,19,NumericAllowedValues
TSH,20,NumericAllowedValues
HbA1C,21,NumericAllowedValues
Blood_Glucose,22,NumericAllowedValues
ALP,23,NumericAllowedValues
Blood_Pressure_Systole,24,NumericAllowedValues
Heart_Rate,25,NumericAllowedValues
eGFR,26,NumericAllowedValues
Weight,27,NumericAllowedValues
Sex,28,"1, 2"
Birth_Year,29,NumericAllowedValues
Start_AF_Diagnosis,30,"True, False"
Date_Ptira,31,"True, False"
Height,32,NumericAllowedValues
Demented_Patient,33,"True, False"
Bedbound,34,"True, False"
Ischemic_Stroke,35,"True, False"
Cancer_diagnosis_not_close,36,"True, False"
Hemodyalisis,37,"True, False"
Cirrhosis,38,"True, False"
Peptic_Ulcer,39,"True, False"
Hypertrophic_Cardiomyopathy,40,"True, False"
Congestive_Heart_Failure,41,"True, False"
Hypertension,42,"True, False"
Diabetes_Mellitus,43,"True, False"
TIA,44,"True, False"
Vascular_Disease,45,"True, False"
Ischemic_Heart_Disease,46,"True, False"
Alcohol_Use,47,"True, False"
Hemophilia,48,"True, False"
Smoking,50,"True, False"
Von_Willebrand's_Disease,51,"True, False"
Mechanical_Heart_Valve,52,"True, False"
Severe_Mitral_Stenosis,53,"True, False"
Anti_Phospholipid_Syndrome,54,"True, False"
Left_Ventricular_Dysfunction,55,"True, False"
MI,56,"True, False"
PVD,57,"True, False"
Stroke,58,"True, False"
Bleeding,59,"True, False"
Blood_Pressure_Diastole,60,NumericAllowedValues
Visit,61,"1, 10, 107, 11, 12, 125, 13, 14, 15, 21, 22, 23, 26, 27, 28, 29, 3, 31, 32, 33, 35, 41, 50, 51, 52, 53, 54, 55, 56, 57, 58, 61, 62, 63, 65, 70, 83"
Bilirubin_Total,62,NumericAllowedValues
Nontraumatic_Intracerebral_Hemorrhage,63,"True, False"
Nontraumatic_Subarachnoid_Hemorrhage,64,"True, False"
Other_Nontraumatic_Hemorrhage,65,"True, False"
Year_of_Family_DR_Visit,66,NumericAllowedValues
HGB_Very_Low_state,100,True
PT_or_aPTT_NotNormal_state,103,True
last_HGB_prev_6_m_less_7_state,105,True
Bilirubin_High_state,110,True
Age_between_65_75_1p_CHASD_state,114,NumericAllowedValues
Age_Big75_2_points_CHASD_state,115,NumericAllowedValues
Age_in_Visit_pattern,116,NumericAllowedValues
Prothrombin_Time_pattern,119,"True, False"
last_PLT_prev_3_m_less_50_state,120,True
last_HGB_prev_3_m_less_10_state,122,True
Ischemic_stroke_Last_pattern,123,"True, False"
Creatinine_Clearence_Low_pattern,124,"True, False"
Diabetes_or_BG_or_HbA1C_state,125,True
Diabetes_Hyper_HbA1C_before_visit_pattern,126,"True, False"
Ischemic_Stroke_or_TIA_state,127,True
CHF_or_LVD_state,128,True
NSAIDs _or_antiPLT_state,129,True
last_serum_Creatinine_prev_6_m_big_2_state,130,True
last_Sys_bp_prev_6_m_big_160_state,131,True
last_bilirublin_prev_6_m_big_2.4_state,132,True
last_PLT_prev_6_m_less_100_state,134,True
last_HGB_prev_6_m_less_11_state,135,True
Von_Willebrand_Before_visit_pattern,136,"True, False"
Hemophilia_Before_visit_pattern,137,"True, False"
Active_cancer_Before_visit_pattern,138,"True, False"
Hemodialysis_Before_visit_pattern,139,"True, False"
Cirrhosis_Before_visit_pattern,140,"True, False"
Severe_Dementia_Before_visit_pattern,141,"True, False"
Bedridden_Before_visit_pattern,142,"True, False"
Vascular_Before_visit_pattern,143,"True, False"
Hypertension_Before_visit_pattern,144,"True, False"
CHF_or_LVD_Before_visit_pattern,145,"True, False"
Stroke_Before_visit_pattern,146,"True, False"
Hospitalization_Bleeding_Before_visit_pattern,147,"True, False"
Alcohol_etilism_Before_visit_pattern,148,"True, False"
NSAIDs _or_antiPLT_Before_visit_pattern,149,"True, False"
Intracranial_Bleeding_Last_pattern,150,"True, False"
Age_bigEq_80_state,155,True
last_weight_lessEq_60_state,157,True
last_Creatinine_bigEq_1.5_state,158,True
Apixaban_LowerDos_BigEq2_state,164,True
Absolute_Contra_Indication_state,175,True
No_Absolute_Contra_Indication_state,176,True
CHADS_Vasc_score_pattern,179,NumericAllowedValues
Intracranial_bleeding_diagnosis_state,180,True
last_HGB_prev_6_m_less_9_state,181,True
prev_last_less_9_pattern,182,NumericAllowedValues
prev_last_less_9_bigEq_11_state,183,True
Hyper_prev_6_m_pattern,187,"True, False"
HBA1C_High_prev_6_m_pattern,188,"True, False"
Age_Big65_state,190,True
CHForLVD_1_p_CHASD_state,400,NumericAllowedValues
Hypertension_1_p_CHASD_state,401,NumericAllowedValues
Diabetes_Hyper_HbA1C_1_p_CHASD_state,402,NumericAllowedValues
IStroke_or_TIA_2p_CHASD_state,403,NumericAllowedValues
Vascular_1_p_CHASD_state,404,NumericAllowedValues
lastSerumCreatinine_1p_BLED_state,405,NumericAllowedValues
lastSysbp_1p_BLED_state,406,NumericAllowedValues
lastBilirublin_1p_BLED_state,407,NumericAllowedValues
last_AST_or_ALT_or_ALP_1p_BLED_state,408,NumericAllowedValues
